"","mesoregion","year","agec","j12_j18","ach.noj","all.deaths","coverage3","hdi.mesoregion.2010"
"1612",2401,2013,2,0,2,2,90.6423501184729,0.655074412498011
"1614",2401,2013,1,3,17,28,90.6423501184729,0.655074412498011
"1615",2401,2013,3,1,6,11,90.6423501184729,0.655074412498011
"1616",2401,2014,2,2,4,7,92.3613934826623,0.655074412498011
"1618",2401,2014,3,0,9,11,92.3613934826623,0.655074412498011
"1619",2401,2014,1,1,15,24,92.3613934826623,0.655074412498011
"1620",2401,2015,1,2,18,25,95.5506997197319,0.655074412498011
"1621",2401,2015,3,0,7,14,95.5506997197319,0.655074412498011
"1623",2401,2015,2,0,7,9,95.5506997197319,0.655074412498011
"1625",2402,2005,1,4,10,21,0,0.649323758562902
"1626",2402,2005,2,0,4,5,0,0.649323758562902
"1627",2402,2005,3,1,5,10,0,0.649323758562902
"1629",2402,2006,1,1,11,16,0,0.649323758562902
"1630",2402,2006,2,0,4,9,0,0.649323758562902
"1631",2402,2006,3,0,2,3,0,0.649323758562902
"1633",2402,2007,1,5,7,16,0,0.649323758562902
"1634",2402,2007,2,1,8,10,0,0.649323758562902
"1635",2402,2007,3,0,3,6,0,0.649323758562902
"1637",2402,2008,1,1,12,19,0,0.649323758562902
"1638",2402,2008,2,0,3,3,0,0.649323758562902
"1639",2402,2008,3,1,6,9,0,0.649323758562902
"1641",2402,2009,1,0,11,16,0,0.649323758562902
"1642",2402,2009,2,2,3,11,0,0.649323758562902
"1643",2402,2009,3,0,6,8,0,0.649323758562902
"1645",2402,2010,1,0,8,15,0,0.649323758562902
"1646",2402,2010,2,0,1,1,0,0.649323758562902
"1647",2402,2010,3,0,4,6,0,0.649323758562902
"1648",2402,2011,1,0,9,12,93.5991656376483,0.649323758562902
"1650",2402,2011,2,1,3,5,93.5991656376483,0.649323758562902
"1651",2402,2011,3,0,1,1,93.5991656376483,0.649323758562902
"1652",2402,2012,1,2,11,21,102.588963901057,0.649323758562902
"1653",2402,2012,2,1,3,6,102.588963901057,0.649323758562902
"1654",2402,2012,3,0,4,7,102.588963901057,0.649323758562902
"1656",2402,2013,2,1,4,6,91.6477689412872,0.649323758562902
"1657",2402,2013,1,1,6,12,91.6477689412872,0.649323758562902
"1659",2402,2013,3,0,6,7,91.6477689412872,0.649323758562902
"1661",2402,2014,3,0,3,4,93.0876095659503,0.649323758562902
"1662",2402,2014,2,0,1,2,93.0876095659503,0.649323758562902
"1663",2402,2014,1,1,10,14,93.0876095659503,0.649323758562902
"1664",2402,2015,3,1,2,3,106.403771278629,0.649323758562902
"1665",2402,2015,1,2,7,13,106.403771278629,0.649323758562902
"1666",2402,2015,2,0,2,2,106.403771278629,0.649323758562902
"1669",2403,2005,1,7,25,41,0,0.600226049612977
"1670",2403,2005,2,1,5,11,0,0.600226049612977
"1671",2403,2005,3,1,1,8,0,0.600226049612977
"1673",2403,2006,1,5,13,34,0,0.600226049612977
"1674",2403,2006,2,1,3,5,0,0.600226049612977
"1675",2403,2006,3,0,6,9,0,0.600226049612977
"1677",2403,2007,1,2,18,30,0,0.600226049612977
"1678",2403,2007,2,0,5,13,0,0.600226049612977
"1679",2403,2007,3,0,8,13,0,0.600226049612977
"1681",2403,2008,1,6,10,21,0,0.600226049612977
"1682",2403,2008,2,3,4,9,0,0.600226049612977
"1683",2403,2008,3,2,8,17,0,0.600226049612977
"1685",2403,2009,1,3,9,23,0,0.600226049612977
"1686",2403,2009,2,0,4,5,0,0.600226049612977
"1687",2403,2009,3,1,4,7,0,0.600226049612977
"1689",2403,2010,1,6,8,26,0,0.600226049612977
"1690",2403,2010,2,0,2,4,0,0.600226049612977
"1691",2403,2010,3,0,5,8,0,0.600226049612977
"1692",2403,2011,2,0,3,6,73.6883096352899,0.600226049612977
"1693",2403,2011,1,7,9,21,73.6883096352899,0.600226049612977
"1695",2403,2011,3,1,4,5,73.6883096352899,0.600226049612977
"1696",2403,2012,2,0,2,6,82.0891317513579,0.600226049612977
"1697",2403,2012,3,0,3,5,82.0891317513579,0.600226049612977
"1699",2403,2012,1,3,10,18,82.0891317513579,0.600226049612977
"1700",2403,2013,1,2,4,11,88.0166479796,0.600226049612977
"1701",2403,2013,2,1,1,3,88.0166479796,0.600226049612977
"1703",2403,2013,3,0,9,10,88.0166479796,0.600226049612977
"1704",2403,2014,3,0,2,4,89.3194754196514,0.600226049612977
"1705",2403,2014,2,1,5,7,89.3194754196514,0.600226049612977
"1706",2403,2014,1,1,10,17,89.3194754196514,0.600226049612977
"1708",2403,2015,1,5,6,17,87.8740379570722,0.600226049612977
"1709",2403,2015,3,0,6,7,87.8740379570722,0.600226049612977
"1710",2403,2015,2,1,4,7,87.8740379570722,0.600226049612977
"1713",2404,2005,1,19,30,82,0,0.714033386425852
"1714",2404,2005,2,5,15,28,0,0.714033386425852
"1715",2404,2005,3,4,18,33,0,0.714033386425852
"1717",2404,2006,1,17,46,107,0,0.714033386425852
"1718",2404,2006,2,3,13,26,0,0.714033386425852
"1719",2404,2006,3,8,21,41,0,0.714033386425852
"1721",2404,2007,1,14,40,87,0,0.714033386425852
"1722",2404,2007,2,3,10,25,0,0.714033386425852
"1723",2404,2007,3,6,17,33,0,0.714033386425852
"1725",2404,2008,1,13,35,79,0,0.714033386425852
"1726",2404,2008,2,2,15,21,0,0.714033386425852
"1727",2404,2008,3,2,17,33,0,0.714033386425852
"1729",2404,2009,1,10,22,64,0,0.714033386425852
"1730",2404,2009,2,8,10,30,0,0.714033386425852
"1731",2404,2009,3,5,20,35,0,0.714033386425852
"1733",2404,2010,1,14,24,66,0,0.714033386425852
"1734",2404,2010,2,3,9,28,0,0.714033386425852
"1735",2404,2010,3,3,6,25,0,0.714033386425852
"1737",2404,2011,3,4,16,28,76.8420919242521,0.714033386425852
"1738",2404,2011,2,4,10,19,76.8420919242521,0.714033386425852
"1739",2404,2011,1,6,35,71,76.8420919242521,0.714033386425852
"1741",2404,2012,3,1,15,26,88.348558483192,0.714033386425852
"1742",2404,2012,2,0,9,19,88.348558483192,0.714033386425852
"1743",2404,2012,1,7,31,57,88.348558483192,0.714033386425852
"1745",2404,2013,2,5,13,24,82.9390925862223,0.714033386425852
"1746",2404,2013,1,11,45,97,82.9390925862223,0.714033386425852
"1747",2404,2013,3,5,22,37,82.9390925862223,0.714033386425852
"1748",2404,2014,2,2,6,19,81.7364988480561,0.714033386425852
"1749",2404,2014,1,6,37,67,81.7364988480561,0.714033386425852
"1751",2404,2014,3,0,16,20,81.7364988480561,0.714033386425852
"1753",2404,2015,1,7,47,75,85.3044312808401,0.714033386425852
"1754",2404,2015,3,0,20,31,85.3044312808401,0.714033386425852
"1755",2404,2015,2,2,11,15,85.3044312808401,0.714033386425852
"1757",2501,2005,1,7,46,73,0,0.617441430721194
"1758",2501,2005,2,3,8,16,0,0.617441430721194
"1759",2501,2005,3,1,16,26,0,0.617441430721194
"1761",2501,2006,1,6,35,49,0,0.617441430721194
"1762",2501,2006,2,1,7,16,0,0.617441430721194
"1763",2501,2006,3,0,15,15,0,0.617441430721194
"1765",2501,2007,1,6,31,48,0,0.617441430721194
"1766",2501,2007,2,2,5,12,0,0.617441430721194
"1767",2501,2007,3,0,7,9,0,0.617441430721194
"1769",2501,2008,1,3,34,48,0,0.617441430721194
"1770",2501,2008,2,2,15,21,0,0.617441430721194
"1771",2501,2008,3,3,11,20,0,0.617441430721194
"1773",2501,2009,1,4,40,53,0,0.617441430721194
"1774",2501,2009,2,2,4,12,0,0.617441430721194
"1775",2501,2009,3,1,10,11,0,0.617441430721194
"1777",2501,2010,1,1,22,30,0,0.617441430721194
"1778",2501,2010,2,2,10,17,0,0.617441430721194
"1779",2501,2010,3,0,9,13,0,0.617441430721194
"1780",2501,2011,2,3,8,14,90.3458345450244,0.617441430721194
"1781",2501,2011,1,4,18,37,90.3458345450244,0.617441430721194
"1782",2501,2011,3,0,8,9,90.3458345450244,0.617441430721194
"1784",2501,2012,2,2,3,6,80.3816739919698,0.617441430721194
"1786",2501,2012,3,1,9,15,80.3816739919698,0.617441430721194
"1787",2501,2012,1,1,21,30,80.3816739919698,0.617441430721194
"1788",2501,2013,3,1,12,18,100.574269568945,0.617441430721194
"1789",2501,2013,2,2,6,15,100.574269568945,0.617441430721194
"1790",2501,2013,1,3,23,35,100.574269568945,0.617441430721194
"1792",2501,2014,2,2,4,9,99.0400504263702,0.617441430721194
"1794",2501,2014,1,3,19,29,99.0400504263702,0.617441430721194
"1795",2501,2014,3,0,14,18,99.0400504263702,0.617441430721194
"1796",2501,2015,1,5,15,26,102.403117386049,0.617441430721194
"1797",2501,2015,3,5,8,17,102.403117386049,0.617441430721194
"1798",2501,2015,2,0,5,8,102.403117386049,0.617441430721194
"1800",2502,2005,2,1,3,5,0,0.602681783506427
"1801",2502,2005,3,1,5,8,0,0.602681783506427
"1803",2502,2005,1,3,14,23,0,0.602681783506427
"1804",2502,2006,2,2,5,8,0,0.602681783506427
"1805",2502,2006,3,2,6,11,0,0.602681783506427
"1807",2502,2006,1,2,8,16,0,0.602681783506427
"1808",2502,2007,2,0,2,4,0,0.602681783506427
"1809",2502,2007,3,0,5,7,0,0.602681783506427
"1811",2502,2007,1,1,10,12,0,0.602681783506427
"1812",2502,2008,2,1,1,4,0,0.602681783506427
"1813",2502,2008,3,2,2,5,0,0.602681783506427
"1815",2502,2008,1,1,17,21,0,0.602681783506427
"1817",2502,2009,1,0,10,11,0,0.602681783506427
"1818",2502,2009,2,2,3,10,0,0.602681783506427
"1819",2502,2009,3,1,12,13,0,0.602681783506427
"1821",2502,2010,1,2,11,15,0,0.602681783506427
"1822",2502,2010,2,0,6,9,0,0.602681783506427
"1823",2502,2010,3,0,7,8,0,0.602681783506427
"1824",2502,2011,1,4,10,20,90.9356254965703,0.602681783506427
"1826",2502,2011,3,0,2,3,90.9356254965703,0.602681783506427
"1827",2502,2011,2,0,2,3,90.9356254965703,0.602681783506427
"1828",2502,2012,2,0,4,4,77.6965982837264,0.602681783506427
"1829",2502,2012,1,0,8,11,77.6965982837264,0.602681783506427
"1831",2502,2012,3,0,4,7,77.6965982837264,0.602681783506427
"1832",2502,2013,2,0,1,1,90.6150933314763,0.602681783506427
"1833",2502,2013,1,1,12,19,90.6150933314763,0.602681783506427
"1835",2502,2013,3,1,5,10,90.6150933314763,0.602681783506427
"1836",2502,2014,1,1,9,14,90.2672758984164,0.602681783506427
"1838",2502,2014,2,3,0,3,90.2672758984164,0.602681783506427
"1839",2502,2014,3,0,5,8,90.2672758984164,0.602681783506427
"1840",2502,2015,2,2,1,5,94.8101414928605,0.602681783506427
"1842",2502,2015,1,0,6,12,94.8101414928605,0.602681783506427
"1843",2502,2015,3,1,2,4,94.8101414928605,0.602681783506427
"1845",2503,2005,1,17,62,104,0,0.631093428858458
"1846",2503,2005,2,5,18,29,0,0.631093428858458
"1847",2503,2005,3,4,20,32,0,0.631093428858458
"1849",2503,2006,1,12,60,93,0,0.631093428858458
"1850",2503,2006,2,5,19,26,0,0.631093428858458
"1851",2503,2006,3,3,17,28,0,0.631093428858458
"1853",2503,2007,1,6,64,84,0,0.631093428858458
"1854",2503,2007,2,4,16,29,0,0.631093428858458
"1855",2503,2007,3,4,15,24,0,0.631093428858458
"1857",2503,2008,1,2,68,79,0,0.631093428858458
"1858",2503,2008,2,3,18,32,0,0.631093428858458
"1859",2503,2008,3,1,25,35,0,0.631093428858458
"1861",2503,2009,1,6,47,60,0,0.631093428858458
"1862",2503,2009,2,1,9,17,0,0.631093428858458
"1863",2503,2009,3,0,21,25,0,0.631093428858458
"1865",2503,2010,1,3,36,55,0,0.631093428858458
"1866",2503,2010,2,1,13,20,0,0.631093428858458
"1867",2503,2010,3,0,21,29,0,0.631093428858458
"1869",2503,2011,3,1,19,28,81.5137453770971,0.631093428858458
"1870",2503,2011,2,2,14,17,81.5137453770971,0.631093428858458
"1871",2503,2011,1,3,27,38,81.5137453770971,0.631093428858458
"1873",2503,2012,1,2,31,44,88.2122938852959,0.631093428858458
"1874",2503,2012,3,3,11,18,88.2122938852959,0.631093428858458
"1875",2503,2012,2,1,15,19,88.2122938852959,0.631093428858458
"1876",2503,2013,2,0,4,10,100.13409485434,0.631093428858458
"1877",2503,2013,1,3,41,65,100.13409485434,0.631093428858458
"1879",2503,2013,3,2,24,35,100.13409485434,0.631093428858458
"1880",2503,2014,2,1,7,12,90.7180085576121,0.631093428858458
"1881",2503,2014,1,3,34,47,90.7180085576121,0.631093428858458
"1882",2503,2014,3,0,17,25,90.7180085576121,0.631093428858458
"1884",2503,2015,2,4,12,20,91.4188690232223,0.631093428858458
"1885",2503,2015,3,3,15,26,91.4188690232223,0.631093428858458
"1887",2503,2015,1,1,28,42,91.4188690232223,0.631093428858458
"1889",2504,2005,1,17,70,127,0,0.690655714388194
"1890",2504,2005,2,6,10,24,0,0.690655714388194
"1891",2504,2005,3,4,18,28,0,0.690655714388194
"1893",2504,2006,1,14,47,84,0,0.690655714388194
"1894",2504,2006,2,3,13,29,0,0.690655714388194
"1895",2504,2006,3,3,26,44,0,0.690655714388194
"1897",2504,2007,1,9,51,80,0,0.690655714388194
"1898",2504,2007,2,3,21,40,0,0.690655714388194
"1899",2504,2007,3,4,21,33,0,0.690655714388194
"1901",2504,2008,1,5,41,74,0,0.690655714388194
"1902",2504,2008,2,6,14,28,0,0.690655714388194
"1903",2504,2008,3,4,24,33,0,0.690655714388194
"1905",2504,2009,1,7,39,64,0,0.690655714388194
"1906",2504,2009,2,3,16,32,0,0.690655714388194
"1907",2504,2009,3,2,18,30,0,0.690655714388194
"1909",2504,2010,1,8,31,63,0,0.690655714388194
"1910",2504,2010,2,4,8,25,0,0.690655714388194
"1911",2504,2010,3,3,11,28,0,0.690655714388194
"1912",2504,2011,1,8,49,75,82.0245992526461,0.690655714388194
"1914",2504,2011,2,0,6,12,82.0245992526461,0.690655714388194
"1915",2504,2011,3,2,22,37,82.0245992526461,0.690655714388194
"1916",2504,2012,1,12,32,68,84.0915534918906,0.690655714388194
"1917",2504,2012,2,1,7,10,84.0915534918906,0.690655714388194
"1918",2504,2012,3,5,18,32,84.0915534918906,0.690655714388194
"1920",2504,2013,2,4,11,26,85.9900716964152,0.690655714388194
"1922",2504,2013,1,11,25,65,85.9900716964152,0.690655714388194
"1923",2504,2013,3,0,13,23,85.9900716964152,0.690655714388194
"1924",2504,2014,1,7,30,55,85.9190287724744,0.690655714388194
"1925",2504,2014,2,2,12,19,85.9190287724744,0.690655714388194
"1926",2504,2014,3,2,14,22,85.9190287724744,0.690655714388194
"1929",2504,2015,3,3,17,29,87.1001619984218,0.690655714388194
"1930",2504,2015,1,2,30,49,87.1001619984218,0.690655714388194
"1931",2504,2015,2,1,11,21,87.1001619984218,0.690655714388194
"1933",2601,2005,1,17,115,170,0,0.604093207773391
"1934",2601,2005,2,6,22,34,0,0.604093207773391
"1935",2601,2005,3,5,23,37,0,0.604093207773391
"1937",2601,2006,1,19,77,121,0,0.604093207773391
"1938",2601,2006,2,8,17,36,0,0.604093207773391
"1939",2601,2006,3,4,19,26,0,0.604093207773391
"1941",2601,2007,1,11,96,132,0,0.604093207773391
"1942",2601,2007,2,8,14,36,0,0.604093207773391
"1943",2601,2007,3,0,20,25,0,0.604093207773391
"1945",2601,2008,1,17,62,108,0,0.604093207773391
"1946",2601,2008,2,5,17,29,0,0.604093207773391
"1947",2601,2008,3,4,19,29,0,0.604093207773391
"1949",2601,2009,1,9,44,82,0,0.604093207773391
"1950",2601,2009,2,1,14,25,0,0.604093207773391
"1951",2601,2009,3,4,15,32,0,0.604093207773391
"1953",2601,2010,1,7,36,61,0,0.604093207773391
"1954",2601,2010,2,3,15,20,0,0.604093207773391
"1955",2601,2010,3,1,28,35,0,0.604093207773391
"1956",2601,2011,3,6,19,32,93.2150605499104,0.604093207773391
"1957",2601,2011,2,0,14,23,93.2150605499104,0.604093207773391
"1959",2601,2011,1,6,49,73,93.2150605499104,0.604093207773391
"1960",2601,2012,3,0,19,28,95.2248743147731,0.604093207773391
"1961",2601,2012,1,9,38,63,95.2248743147731,0.604093207773391
"1963",2601,2012,2,2,15,25,95.2248743147731,0.604093207773391
"1964",2601,2013,2,1,7,12,101.271178186246,0.604093207773391
"1965",2601,2013,1,6,35,55,101.271178186246,0.604093207773391
"1967",2601,2013,3,4,18,31,101.271178186246,0.604093207773391
"1969",2601,2014,3,1,18,23,97.2245901417529,0.604093207773391
"1970",2601,2014,1,6,28,52,97.2245901417529,0.604093207773391
"1971",2601,2014,2,1,17,22,97.2245901417529,0.604093207773391
"1972",2601,2015,3,4,14,22,106.571631117242,0.604093207773391
"1974",2601,2015,2,3,10,21,106.571631117242,0.604093207773391
"1975",2601,2015,1,5,23,44,106.571631117242,0.604093207773391
"1977",2602,2005,1,10,57,84,0,0.654141276075495
"1978",2602,2005,2,1,18,24,0,0.654141276075495
"1979",2602,2005,3,3,18,25,0,0.654141276075495
"1981",2602,2006,1,8,45,70,0,0.654141276075495
"1982",2602,2006,2,5,16,23,0,0.654141276075495
"1983",2602,2006,3,2,7,14,0,0.654141276075495
"1985",2602,2007,1,3,35,56,0,0.654141276075495
"1986",2602,2007,2,3,10,16,0,0.654141276075495
"1987",2602,2007,3,2,13,19,0,0.654141276075495
"1989",2602,2008,1,7,24,46,0,0.654141276075495
"1990",2602,2008,2,4,11,21,0,0.654141276075495
"1991",2602,2008,3,2,9,16,0,0.654141276075495
"1993",2602,2009,1,8,36,55,0,0.654141276075495
"1994",2602,2009,2,1,11,19,0,0.654141276075495
"1995",2602,2009,3,1,13,21,0,0.654141276075495
"1997",2602,2010,1,6,19,38,0,0.654141276075495
"1998",2602,2010,2,1,9,14,0,0.654141276075495
"1999",2602,2010,3,2,12,17,0,0.654141276075495
"2000",2602,2011,1,10,29,52,94.8032306105295,0.654141276075495
"2002",2602,2011,3,1,9,14,94.8032306105295,0.654141276075495
"2003",2602,2011,2,0,5,8,94.8032306105295,0.654141276075495
"2004",2602,2012,3,3,11,18,94.2499603423244,0.654141276075495
"2006",2602,2012,2,0,7,11,94.2499603423244,0.654141276075495
"2007",2602,2012,1,7,24,37,94.2499603423244,0.654141276075495
"2008",2602,2013,3,3,7,13,91.2833204859785,0.654141276075495
"2010",2602,2013,1,5,27,43,91.2833204859785,0.654141276075495
"2011",2602,2013,2,2,8,15,91.2833204859785,0.654141276075495
"2012",2602,2014,1,3,18,33,95.1843273019027,0.654141276075495
"2014",2602,2014,2,1,2,5,95.1843273019027,0.654141276075495
"2015",2602,2014,3,3,9,16,95.1843273019027,0.654141276075495
"2017",2602,2015,2,2,10,18,109.060214991977,0.654141276075495
"2018",2602,2015,1,5,19,32,109.060214991977,0.654141276075495
"2019",2602,2015,3,0,8,12,109.060214991977,0.654141276075495
"2021",2603,2005,1,31,192,281,0,0.60388361862731
"2022",2603,2005,2,10,53,80,0,0.60388361862731
"2023",2603,2005,3,9,46,71,0,0.60388361862731
"2025",2603,2006,1,24,160,233,0,0.60388361862731
"2026",2603,2006,2,11,46,76,0,0.60388361862731
"2027",2603,2006,3,8,45,78,0,0.60388361862731
"2029",2603,2007,1,19,132,223,0,0.60388361862731
"2030",2603,2007,2,6,40,63,0,0.60388361862731
"2031",2603,2007,3,11,39,73,0,0.60388361862731
"2033",2603,2008,1,21,103,183,0,0.60388361862731
"2034",2603,2008,2,4,31,54,0,0.60388361862731
"2035",2603,2008,3,8,40,68,0,0.60388361862731
"2037",2603,2009,1,19,82,169,0,0.60388361862731
"2038",2603,2009,2,9,33,61,0,0.60388361862731
"2039",2603,2009,3,6,40,64,0,0.60388361862731
"2041",2603,2010,1,21,70,130,0,0.60388361862731
"2042",2603,2010,2,2,24,38,0,0.60388361862731
"2043",2603,2010,3,3,39,61,0,0.60388361862731
"2044",2603,2011,3,9,28,56,95.4186096602905,0.60388361862731
"2045",2603,2011,1,13,51,102,95.4186096602905,0.60388361862731
"2046",2603,2011,2,3,22,42,95.4186096602905,0.60388361862731
"2048",2603,2012,2,1,15,26,97.4966390113861,0.60388361862731
"2049",2603,2012,3,1,34,53,97.4966390113861,0.60388361862731
"2051",2603,2012,1,18,52,107,97.4966390113861,0.60388361862731
"2052",2603,2013,1,11,82,122,94.1780266116377,0.60388361862731
"2053",2603,2013,3,3,28,45,94.1780266116377,0.60388361862731
"2054",2603,2013,2,3,14,28,94.1780266116377,0.60388361862731
"2056",2603,2014,1,13,50,97,95.1650117148421,0.60388361862731
"2057",2603,2014,3,2,31,46,95.1650117148421,0.60388361862731
"2058",2603,2014,2,3,19,33,95.1650117148421,0.60388361862731
"2060",2603,2015,3,2,43,56,99.4909078981708,0.60388361862731
"2061",2603,2015,2,3,25,42,99.4909078981708,0.60388361862731
"2063",2603,2015,1,16,43,92,99.4909078981708,0.60388361862731
"2065",2604,2005,1,24,105,179,0,0.612244952762459
"2066",2604,2005,2,7,29,47,0,0.612244952762459
"2067",2604,2005,3,2,28,48,0,0.612244952762459
"2069",2604,2006,1,12,67,112,0,0.612244952762459
"2070",2604,2006,2,4,14,24,0,0.612244952762459
"2071",2604,2006,3,3,22,40,0,0.612244952762459
"2073",2604,2007,1,14,74,141,0,0.612244952762459
"2074",2604,2007,2,5,20,38,0,0.612244952762459
"2075",2604,2007,3,4,13,26,0,0.612244952762459
"2077",2604,2008,1,13,54,107,0,0.612244952762459
"2078",2604,2008,2,7,15,31,0,0.612244952762459
"2079",2604,2008,3,2,26,37,0,0.612244952762459
"2081",2604,2009,1,16,46,94,0,0.612244952762459
"2082",2604,2009,2,1,22,32,0,0.612244952762459
"2083",2604,2009,3,4,20,31,0,0.612244952762459
"2085",2604,2010,1,9,35,68,0,0.612244952762459
"2086",2604,2010,2,3,11,19,0,0.612244952762459
"2087",2604,2010,3,2,18,32,0,0.612244952762459
"2088",2604,2011,3,0,20,25,88.3393405095877,0.612244952762459
"2090",2604,2011,2,2,13,23,88.3393405095877,0.612244952762459
"2091",2604,2011,1,8,30,70,88.3393405095877,0.612244952762459
"2092",2604,2012,1,6,28,54,96.2986498142255,0.612244952762459
"2093",2604,2012,3,2,17,30,96.2986498142255,0.612244952762459
"2095",2604,2012,2,2,10,22,96.2986498142255,0.612244952762459
"2096",2604,2013,1,8,46,77,102.537754677337,0.612244952762459
"2097",2604,2013,2,4,9,22,102.537754677337,0.612244952762459
"2098",2604,2013,3,4,19,31,102.537754677337,0.612244952762459
"2100",2604,2014,2,2,10,19,94.7387868493324,0.612244952762459
"2101",2604,2014,3,3,17,27,94.7387868493324,0.612244952762459
"2103",2604,2014,1,2,40,59,94.7387868493324,0.612244952762459
"2104",2604,2015,1,2,35,55,100.107237369092,0.612244952762459
"2105",2604,2015,3,3,17,26,100.107237369092,0.612244952762459
"2107",2604,2015,2,1,9,18,100.107237369092,0.612244952762459
"2109",2605,2005,1,30,96,216,0,0.730889673357749
"2110",2605,2005,2,12,27,62,0,0.730889673357749
"2111",2605,2005,3,7,51,78,0,0.730889673357749
"2113",2605,2006,1,23,93,182,0,0.730889673357749
"2114",2605,2006,2,12,31,54,0,0.730889673357749
"2115",2605,2006,3,10,29,71,0,0.730889673357749
"2117",2605,2007,1,27,82,161,0,0.730889673357749
"2118",2605,2007,2,13,16,46,0,0.730889673357749
"2119",2605,2007,3,8,54,73,0,0.730889673357749
"2121",2605,2008,1,20,81,171,0,0.730889673357749
"2122",2605,2008,2,8,20,42,0,0.730889673357749
"2123",2605,2008,3,7,39,62,0,0.730889673357749
"2125",2605,2009,1,17,77,161,0,0.730889673357749
"2126",2605,2009,2,5,26,57,0,0.730889673357749
"2127",2605,2009,3,10,44,69,0,0.730889673357749
"2129",2605,2010,1,15,82,126,0,0.730889673357749
"2130",2605,2010,2,3,31,51,0,0.730889673357749
"2131",2605,2010,3,4,41,58,0,0.730889673357749
"2132",2605,2011,2,5,26,46,92.8499662409621,0.730889673357749
"2134",2605,2011,3,11,37,67,92.8499662409621,0.730889673357749
"2135",2605,2011,1,20,73,143,92.8499662409621,0.730889673357749
"2136",2605,2012,2,6,24,48,94.7240872625018,0.730889673357749
"2137",2605,2012,3,6,35,57,94.7240872625018,0.730889673357749
"2139",2605,2012,1,19,75,148,94.7240872625018,0.730889673357749
"2141",2605,2013,3,8,30,51,87.2748360791843,0.730889673357749
"2142",2605,2013,1,19,85,147,87.2748360791843,0.730889673357749
"2143",2605,2013,2,9,26,43,87.2748360791843,0.730889673357749
"2145",2605,2014,2,3,21,44,93.0453425403437,0.730889673357749
"2146",2605,2014,1,20,85,159,93.0453425403437,0.730889673357749
"2147",2605,2014,3,5,25,50,93.0453425403437,0.730889673357749
"2149",2605,2015,3,3,23,37,99.3319811349517,0.730889673357749
"2150",2605,2015,1,9,64,124,99.3319811349517,0.730889673357749
"2151",2605,2015,2,0,18,34,99.3319811349517,0.730889673357749
"2153",2701,2005,1,8,71,102,0,0.555914454007402
"2154",2701,2005,2,2,12,16,0,0.555914454007402
"2155",2701,2005,3,5,11,17,0,0.555914454007402
"2157",2701,2006,1,8,57,75,0,0.555914454007402
"2158",2701,2006,2,6,6,15,0,0.555914454007402
"2159",2701,2006,3,1,6,9,0,0.555914454007402
"2161",2701,2007,1,5,46,63,0,0.555914454007402
"2162",2701,2007,2,2,9,12,0,0.555914454007402
"2163",2701,2007,3,3,17,26,0,0.555914454007402
"2165",2701,2008,1,7,40,59,0,0.555914454007402
"2166",2701,2008,2,3,8,17,0,0.555914454007402
"2167",2701,2008,3,4,14,24,0,0.555914454007402
"2169",2701,2009,1,11,35,60,0,0.555914454007402
"2170",2701,2009,2,3,11,20,0,0.555914454007402
"2171",2701,2009,3,0,9,14,0,0.555914454007402
"2173",2701,2010,1,5,22,44,0,0.555914454007402
"2174",2701,2010,2,3,10,18,0,0.555914454007402
"2175",2701,2010,3,1,8,14,0,0.555914454007402
"2177",2701,2011,1,6,19,38,73.4030239422476,0.555914454007402
"2178",2701,2011,3,2,14,19,73.4030239422476,0.555914454007402
"2179",2701,2011,2,5,7,17,73.4030239422476,0.555914454007402
"2180",2701,2012,1,8,27,45,81.6313723606564,0.555914454007402
"2181",2701,2012,3,1,10,14,81.6313723606564,0.555914454007402
"2183",2701,2012,2,1,6,8,81.6313723606564,0.555914454007402
"2184",2701,2013,1,5,36,56,86.1721588975805,0.555914454007402
"2186",2701,2013,3,0,13,14,86.1721588975805,0.555914454007402
"2187",2701,2013,2,1,4,9,86.1721588975805,0.555914454007402
"2188",2701,2014,1,5,20,34,89.8788456922035,0.555914454007402
"2189",2701,2014,3,2,8,17,89.8788456922035,0.555914454007402
"2191",2701,2014,2,2,6,11,89.8788456922035,0.555914454007402
"2192",2701,2015,2,0,3,6,88.5060517401751,0.555914454007402
"2193",2701,2015,3,1,6,9,88.5060517401751,0.555914454007402
"2194",2701,2015,1,3,11,27,88.5060517401751,0.555914454007402
"2197",2702,2005,1,14,59,88,0,0.593598595940097
"2198",2702,2005,2,1,9,13,0,0.593598595940097
"2199",2702,2005,3,6,17,29,0,0.593598595940097
"2201",2702,2006,1,12,38,66,0,0.593598595940097
"2202",2702,2006,2,0,15,18,0,0.593598595940097
"2203",2702,2006,3,3,12,20,0,0.593598595940097
"2205",2702,2007,1,10,37,57,0,0.593598595940097
"2206",2702,2007,2,2,8,18,0,0.593598595940097
"2207",2702,2007,3,1,16,19,0,0.593598595940097
"2209",2702,2008,1,9,23,47,0,0.593598595940097
"2210",2702,2008,2,0,8,10,0,0.593598595940097
"2211",2702,2008,3,1,8,11,0,0.593598595940097
"2213",2702,2009,1,5,40,59,0,0.593598595940097
"2214",2702,2009,2,2,9,14,0,0.593598595940097
"2215",2702,2009,3,0,6,9,0,0.593598595940097
"2217",2702,2010,1,9,20,39,0,0.593598595940097
"2218",2702,2010,2,1,6,9,0,0.593598595940097
