"","mesoregion","Year","agec","j12_j18","ach.noj","e40_46","r95_99","a00_b99","all.deaths","PCV2 coverage","PCV3 coverage","log.gdp"
"187","Antioquia_med",2015,4,1,22,2,1,3,32,94.0638311615689,94.4141245218199,8328.09249881545
"188","Antioquia_med",2015,1,1,63,0,2,1,69,94.0638311615689,94.4141245218199,8328.09249881545
"193","Arauca_high",2005,4,0,3,0,0,0,3,0,0,14051.6140524262
"194","Arauca_high",2005,3,0,6,0,1,1,6,0,0,14051.6140524262
"195","Arauca_high",2005,2,4,7,1,0,6,12,0,0,14051.6140524262
"196","Arauca_high",2005,1,0,12,0,0,0,13,0,0,14051.6140524262
"197","Arauca_high",2006,4,0,1,0,0,0,1,0,0,14051.6140524262
"198","Arauca_high",2006,3,0,3,0,0,1,3,0,0,14051.6140524262
"199","Arauca_high",2006,1,0,17,0,1,0,19,0,0,14051.6140524262
"200","Arauca_high",2006,2,0,10,1,1,1,11,0,0,14051.6140524262
"201","Arauca_high",2007,2,0,4,0,1,1,4,0,0,14051.6140524262
"202","Arauca_high",2007,3,0,2,0,1,0,2,0,0,14051.6140524262
"203","Arauca_high",2007,4,0,4,0,0,0,4,0,0,14051.6140524262
"204","Arauca_high",2007,1,0,10,0,2,0,10,0,0,14051.6140524262
"205","Arauca_high",2008,2,0,5,0,0,1,7,0,0,14051.6140524262
"206","Arauca_high",2008,3,0,0,0,0,0,0,0,0,14051.6140524262
"207","Arauca_high",2008,4,0,1,0,0,0,1,0,0,14051.6140524262
"208","Arauca_high",2008,1,0,5,0,0,0,5,0,0,14051.6140524262
"209","Arauca_high",2009,4,0,3,0,0,0,3,0,0,14051.6140524262
"210","Arauca_high",2009,3,1,0,1,0,0,3,0,0,14051.6140524262
"211","Arauca_high",2009,2,1,5,0,1,2,7,0,0,14051.6140524262
"212","Arauca_high",2009,1,0,8,0,0,1,9,0,0,14051.6140524262
"213","Arauca_high",2010,1,0,14,0,0,0,14,0,0,14051.6140524262
"214","Arauca_high",2010,3,0,0,0,0,0,1,0,0,14051.6140524262
"215","Arauca_high",2010,4,0,2,0,0,1,5,0,0,14051.6140524262
"216","Arauca_high",2010,2,2,3,1,0,1,6,0,0,14051.6140524262
"217","Arauca_high",2011,4,0,2,0,0,0,2,54.5711414977731,15.0934501747155,14051.6140524262
"218","Arauca_high",2011,2,0,1,0,0,1,1,54.5711414977731,15.0934501747155,14051.6140524262
"219","Arauca_high",2011,1,1,4,0,0,0,5,54.5711414977731,15.0934501747155,14051.6140524262
"220","Arauca_high",2011,3,0,2,0,0,0,2,54.5711414977731,15.0934501747155,14051.6140524262
"221","Arauca_high",2012,3,0,2,0,0,0,3,87.985791335438,83.0810551139173,14051.6140524262
"222","Arauca_high",2012,4,0,2,0,0,0,3,87.985791335438,83.0810551139173,14051.6140524262
"223","Arauca_high",2012,1,0,6,0,0,0,6,87.985791335438,83.0810551139173,14051.6140524262
"224","Arauca_high",2012,2,0,2,0,1,0,3,87.985791335438,83.0810551139173,14051.6140524262
"225","Arauca_high",2013,4,1,3,0,1,0,4,85.085791335438,86.4991403902476,14051.6140524262
"226","Arauca_high",2013,3,0,5,1,0,2,6,85.085791335438,86.4991403902476,14051.6140524262
"227","Arauca_high",2013,1,0,3,0,0,0,3,85.085791335438,86.4991403902476,14051.6140524262
"228","Arauca_high",2013,2,0,1,0,0,0,2,85.085791335438,86.4991403902476,14051.6140524262
"229","Arauca_high",2014,4,0,6,0,0,0,7,80.8222821497851,80.0161469704462,14051.6140524262
"230","Arauca_high",2014,1,0,3,0,0,0,4,80.8222821497851,80.0161469704462,14051.6140524262
"231","Arauca_high",2014,3,0,0,0,0,0,0,80.8222821497851,80.0161469704462,14051.6140524262
"232","Arauca_high",2014,2,1,3,0,0,0,5,80.8222821497851,80.0161469704462,14051.6140524262
"233","Arauca_high",2015,4,0,3,1,0,1,4,91.2989213038682,87.3398280780495,14051.6140524262
"234","Arauca_high",2015,1,0,6,0,0,0,6,91.2989213038682,87.3398280780495,14051.6140524262
"235","Arauca_high",2015,2,0,1,0,0,0,2,91.2989213038682,87.3398280780495,14051.6140524262
"236","Arauca_high",2015,3,0,0,0,0,0,1,91.2989213038682,87.3398280780495,14051.6140524262
"241","Arauca_med",2005,4,2,3,0,0,1,6,0,0,9295.65067563928
"242","Arauca_med",2005,2,2,9,2,1,5,16,0,0,9295.65067563928
"243","Arauca_med",2005,3,0,3,0,0,0,4,0,0,9295.65067563928
"244","Arauca_med",2005,1,0,16,0,0,0,16,0,0,9295.65067563928
"245","Arauca_med",2006,3,0,0,0,0,0,0,0,0,9295.65067563928
"246","Arauca_med",2006,4,0,1,0,0,0,2,0,0,9295.65067563928
"247","Arauca_med",2006,2,0,0,0,0,1,1,0,0,9295.65067563928
"248","Arauca_med",2006,1,0,10,0,0,0,10,0,0,9295.65067563928
"249","Arauca_med",2007,2,1,6,0,3,1,7,0,0,9295.65067563928
"250","Arauca_med",2007,1,0,8,0,0,0,9,0,0,9295.65067563928
"251","Arauca_med",2007,3,2,1,0,0,1,3,0,0,9295.65067563928
"252","Arauca_med",2007,4,0,1,1,0,0,1,0,0,9295.65067563928
"253","Arauca_med",2008,1,0,3,0,0,0,4,0,0,9295.65067563928
"254","Arauca_med",2008,4,0,1,0,0,0,1,0,0,9295.65067563928
"255","Arauca_med",2008,2,0,1,0,0,1,2,0,0,9295.65067563928
"256","Arauca_med",2008,3,0,2,0,0,0,2,0,0,9295.65067563928
"257","Arauca_med",2009,3,1,1,0,0,0,2,0,0,9295.65067563928
"258","Arauca_med",2009,1,0,8,0,0,0,8,0,0,9295.65067563928
"259","Arauca_med",2009,2,0,1,0,0,0,2,0,0,9295.65067563928
"260","Arauca_med",2009,4,1,3,0,0,0,4,0,0,9295.65067563928
"261","Arauca_med",2010,1,0,6,0,1,0,8,0,0,9295.65067563928
"262","Arauca_med",2010,4,1,5,0,0,2,7,0,0,9295.65067563928
"263","Arauca_med",2010,2,1,2,1,0,0,6,0,0,9295.65067563928
"264","Arauca_med",2010,3,0,2,1,1,0,7,0,0,9295.65067563928
"265","Arauca_med",2011,3,0,4,0,1,0,4,53.1293764264633,10.291707595385,9295.65067563928
"266","Arauca_med",2011,4,0,3,0,1,0,3,53.1293764264633,10.291707595385,9295.65067563928
"267","Arauca_med",2011,1,1,9,0,0,0,10,53.1293764264633,10.291707595385,9295.65067563928
"268","Arauca_med",2011,2,1,4,0,1,0,5,53.1293764264633,10.291707595385,9295.65067563928
"269","Arauca_med",2012,4,2,3,0,0,0,6,95.6353938759487,95.6514240849441,9295.65067563928
