"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"02.low",2007,0,0,7,0,0,1,0,0,0,3,1,1,9
"02.med",2007,0,3,54,3,0,3,0,0,0,29,2,9,58
"03.low",2007,0,7,49,0,0,7,0,1,0,26,3,7,64
"03.med",2007,0,1,29,0,0,1,0,0,2,20,1,3,32
"04.high",2007,0,14,186,1,1,15,0,4,2,112,1,33,204
"04.low",2007,0,0,2,0,0,0,0,0,0,1,0,0,4
"04.med",2007,0,2,19,0,0,2,0,1,0,8,2,4,23
"05.low",2007,0,3,48,0,0,3,0,0,0,25,0,1,53
"05.med",2007,0,11,77,0,0,12,0,2,0,40,0,11,91
"06.low",2007,0,1,4,0,0,1,0,0,0,3,0,1,5
"06.med",2007,0,3,12,0,0,4,0,0,0,8,1,2,16
"07.high",2007,0,4,59,0,0,4,0,0,1,34,3,17,65
"08.high",2007,0,2,56,0,0,5,0,1,0,28,2,13,67
"08.low",2007,0,4,89,0,0,4,0,1,1,18,2,10,100
"08.med",2007,0,11,101,0,1,13,0,1,0,38,2,7,117
"09.low",2007,0,10,79,0,0,17,0,0,0,33,4,12,100
"09.med",2007,0,3,15,0,0,5,0,0,0,11,0,1,20
"10.high",2007,0,0,17,0,0,0,0,0,0,7,1,6,18
"10.low",2007,0,5,99,3,2,6,0,2,2,46,5,4,115
"10.med",2007,0,4,39,0,3,4,0,3,0,23,0,3,43
"11.high",2007,0,16,145,0,0,17,0,0,0,80,5,13,162
"11.med",2007,0,0,2,0,0,0,0,0,0,0,0,1,2
"12.high",2007,0,13,113,0,1,14,0,2,1,75,1,6,140
"12.low",2007,0,1,17,0,0,2,0,0,0,7,0,0,19
"12.med",2007,0,10,109,0,0,12,0,3,0,47,2,11,134
"13.high",2007,0,1,39,0,0,1,0,1,1,19,2,14,40
"13.low",2007,0,2,21,0,5,2,0,0,0,8,2,1,23
"13.med",2007,0,4,40,0,4,5,0,3,1,20,2,4,46
"14.high",2007,0,6,88,0,1,6,0,0,0,60,1,14,95
"14.low",2007,0,1,8,0,0,1,0,0,0,2,0,0,9
"14.med",2007,0,11,90,0,2,13,0,1,0,55,0,17,109
"15.high",2007,0,54,751,1,0,61,0,4,3,457,31,181,829
"15.med",2007,0,0,11,0,0,1,0,0,0,7,0,2,12
"16.high",2007,0,2,23,0,0,4,0,0,0,13,2,4,27
